Lab panel,Scoring data
A2M,[]
AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME,"[['Gastrointestinal epithelial barrier disorders', 0.16666666666666666, 0.027777777777777776, 0.004629629629629629], ['Fetal hydrops', 0.16666666666666666, 0.018518518518518517, 0.0030864197530864196], ['Fetal anomalies', 0.16666666666666666, 0.001026694045174538, 0.00017111567419575633], ['Severe Paediatric Disorders', 0.8333333333333334, 0.001923816852635629, 0.001603180710529691], ['Primary lymphoedema', 0.16666666666666666, 0.025, 0.004166666666666667], ['White matter disorders - childhood onset', 0.16666666666666666, 0.00045024763619990995, 7.504127269998499e-05], ['Hypotonic infant', 0.16666666666666666, 0.00047393364928909954, 7.898894154818325e-05], ['Primary immunodeficiency', 0.8333333333333334, 0.019455252918287938, 0.01621271076523995], ['RASopathies', 0.16666666666666666, 0.05, 0.008333333333333333], ['Childhood solid tumours cancer susceptibility', 0.16666666666666666, 0.013888888888888888, 0.0023148148148148147], ['Pigmentary skin disorders', 0.16666666666666666, 0.01, 0.0016666666666666666], ['IUGR and IGF abnormalities', 0.16666666666666666, 0.010526315789473684, 0.0017543859649122805], ['Paediatric disorders', 0.16666666666666666, 0.00025523226135783564, 4.253871022630594e-05], ['Growth failure in early childhood', 0.16666666666666666, 0.020833333333333332, 0.003472222222222222], ['Intellectual disability', 0.16666666666666666, 0.000877963125548727, 0.0001463271875914545], ['Haematological malignancies for rare disease', 0.16666666666666666, 0.012048192771084338, 0.002008032128514056], ['DDG2P', 0.16666666666666666, 0.0008382229673093043, 0.00013970382788488405], ['Adult solid tumours cancer susceptibility', 0.16666666666666666, 0.012195121951219513, 0.002032520325203252], ['Haematological malignancies cancer susceptibility', 0.16666666666666666, 0.011764705882352941, 0.00196078431372549], ['Mosaic skin disorders - deep sequencing', 0.16666666666666666, 0.038461538461538464, 0.00641025641025641], ['COVID-19 research', 0.8333333333333334, 0.010845986984815618, 0.009038322487346349], ['Infantile enterocolitis & monogenic inflammatory bowel disease', 0.16666666666666666, 0.0196078431372549, 0.00326797385620915], ['Cardiomyopathies - including childhood onset', 0.16666666666666666, 0.007142857142857143, 0.0011904761904761904]]"
Aarskog-Scott syndrome,"[['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['IUGR and IGF abnormalities', 1.0, 0.010526315789473684, 0.010526315789473684], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['Limb disorders', 1.0, 0.007194244604316547, 0.007194244604316547], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Clefting', 1.0, 0.006802721088435374, 0.006802721088435374]]"
Achalasia-addisonianism-alacrimia syndrome,"[['Hereditary ataxia and cerebellar anomalies - childhood onset', 1.0, 0.0036363636363636364, 0.0036363636363636364], ['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['Familial dysautonomia', 1.0, 0.07142857142857142, 0.07142857142857142], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['Congenital adrenal hypoplasia', 1.0, 0.07692307692307693, 0.07692307692307693], ['Ataxia and cerebellar anomalies - narrow panel', 1.0, 0.00641025641025641, 0.00641025641025641], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Hereditary ataxia - adult onset', 1.0, 0.005376344086021506, 0.005376344086021506], ['Hereditary ataxia', 1.0, 0.007518796992481203, 0.007518796992481203]]"
Acyl-CoA dehydrogenase short-chain deficiency of,"[['Undiagnosed metabolic disorders', 1.0, 0.0015479876160990713, 0.0015479876160990713], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Inborn errors of metabolism', 1.0, 0.0014326647564469914, 0.0014326647564469914]]"
Adams Oliver syndrome,"[['Fetal anomalies', 1.0, 0.003080082135523614, 0.003080082135523614], ['Skeletal dysplasia', 1.0, 0.007772020725388601, 0.007772020725388601], ['Severe Paediatric Disorders', 1.0, 0.0011542901115813775, 0.0011542901115813775], ['White matter disorders - childhood onset', 0.3333333333333333, 0.00045024763619990995, 0.00015008254539996998], ['Hypotonic infant', 0.3333333333333333, 0.00047393364928909954, 0.0001579778830963665], ['Paediatric disorders', 1.0, 0.0007656967840735069, 0.0007656967840735069], ['Thoracic aortic aneurysm or dissection', 0.3333333333333333, 0.03225806451612903, 0.01075268817204301], ['Structural eye disease', 0.3333333333333333, 0.008771929824561403, 0.0029239766081871343], ['Thoracic aortic aneurysm and dissection', 0.3333333333333333, 0.03125, 0.010416666666666666], ['Intellectual disability', 0.3333333333333333, 0.000877963125548727, 0.000292654375182909], ['Limb disorders', 1.0, 0.02158273381294964, 0.02158273381294964], ['Clefting', 1.0, 0.02040816326530612, 0.02040816326530612]]"
Aicardi-Goutieres syndrome,"[['Intracerebral calcification disorders', 0.875, 0.30434782608695654, 0.266304347826087], ['Undiagnosed metabolic disorders', 0.375, 0.0046439628482972135, 0.001741486068111455], ['Fetal anomalies', 1.0, 0.008213552361396304, 0.008213552361396304], ['Skeletal dysplasia', 0.125, 0.0025906735751295338, 0.0003238341968911917], ['Severe Paediatric Disorders', 1.0, 0.0030781069642170067, 0.0030781069642170067], ['White matter disorders - childhood onset', 1.0, 0.0036019810895992796, 0.0036019810895992796], ['Hypotonic infant', 1.0, 0.0037914691943127963, 0.0037914691943127963], ['Primary immunodeficiency', 0.875, 0.027237354085603113, 0.023832684824902722], ['Pigmentary skin disorders', 0.125, 0.01, 0.00125], ['Cerebral vascular malformations', 0.125, 0.07142857142857142, 0.008928571428571428], ['Inherited white matter disorders', 1.0, 0.06956521739130435, 0.06956521739130435], ['Hereditary spastic paraplegia - childhood onset', 0.125, 0.014285714285714285, 0.0017857142857142857], ['Genetic epilepsy syndromes', 1.0, 0.018823529411764704, 0.018823529411764704], ['Structural basal ganglia disorders', 0.25, 0.03125, 0.0078125], ['Hereditary spastic paraplegia', 0.25, 0.027777777777777776, 0.006944444444444444], ['Paediatric disorders', 1.0, 0.002041858090862685, 0.002041858090862685], ['Familial cerebral small vessel disease', 0.125, 0.08333333333333333, 0.010416666666666666], ['Intellectual disability', 1.0, 0.007023705004389816, 0.007023705004389816], ['White matter disorders - adult onset', 0.875, 0.09210526315789473, 0.0805921052631579], ['DDG2P', 1.0, 0.006705783738474434, 0.006705783738474434], ['Rare genetic inflammatory skin disorders', 0.25, 0.06896551724137931, 0.017241379310344827], ['COVID-19 research', 0.875, 0.015184381778741865, 0.013286334056399132], ['Inborn errors of metabolism', 0.375, 0.004297994269340974, 0.0016117478510028654], ['Early onset dystonia', 0.125, 0.018867924528301886, 0.0023584905660377358], ['White matter disorders and cerebral calcification - narrow panel', 1.0, 0.06015037593984962, 0.06015037593984962], ['Childhood onset dystonia or chorea or related movement disorder', 0.875, 0.04827586206896552, 0.04224137931034483], ['Hereditary spastic paraplegia - adult onset', 0.125, 0.012987012987012988, 0.0016233766233766235]]"
Alagille syndrome,"[['Fetal anomalies', 1.0, 0.002053388090349076, 0.002053388090349076], ['Skeletal dysplasia', 0.5, 0.0025906735751295338, 0.0012953367875647669], ['Severe Paediatric Disorders', 1.0, 0.0007695267410542517, 0.0007695267410542517], ['Craniosynostosis', 0.5, 0.01818181818181818, 0.00909090909090909], ['Osteogenesis imperfecta', 0.5, 0.03225806451612903, 0.016129032258064516], ['CAKUT', 1.0, 0.037037037037037035, 0.037037037037037035], ['Paediatric disorders', 1.0, 0.0005104645227156713, 0.0005104645227156713], ['Familial non syndromic congenital heart disease', 1.0, 0.07142857142857142, 0.07142857142857142], ['Cholestasis', 1.0, 0.0625, 0.0625], ['DDG2P', 1.0, 0.0016764459346186086, 0.0016764459346186086], ['Renal superpanel - narrow', 1.0, 0.006269592476489028, 0.006269592476489028], ['Neonatal cholestasis', 1.0, 0.037037037037037035, 0.037037037037037035], ['Renal superpanel - broad', 1.0, 0.0033112582781456954, 0.0033112582781456954]]"
Albinism,"[['Albinism or congenital nystagmus', 0.7142857142857143, 0.21739130434782608, 0.15527950310559005], ['Severe Paediatric Disorders', 0.5714285714285714, 0.0015390534821085034, 0.0008794591326334305], ['Infantile nystagmus', 0.7142857142857143, 0.5, 0.35714285714285715], ['Pigmentary skin disorders', 0.7142857142857143, 0.05, 0.03571428571428572], ['Paediatric disorders', 0.2857142857142857, 0.0005104645227156713, 0.0001458470064901918], ['Inherited bleeding disorders', 0.14285714285714285, 0.009708737864077669, 0.0013869625520110955], ['Ocular and oculo-cutaneous albinism', 0.7142857142857143, 0.4166666666666667, 0.2976190476190476], ['DDG2P', 0.2857142857142857, 0.0016764459346186086, 0.00047898455274817384]]"
Alexander disease,"[['Hereditary ataxia and cerebellar anomalies - childhood onset', 1.0, 0.0036363636363636364, 0.0036363636363636364], ['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['Inherited white matter disorders', 1.0, 0.008695652173913044, 0.008695652173913044], ['Genetic epilepsy syndromes', 1.0, 0.002352941176470588, 0.002352941176470588], ['Ataxia and cerebellar anomalies - narrow panel', 1.0, 0.00641025641025641, 0.00641025641025641], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['White matter disorders - adult onset', 1.0, 0.013157894736842105, 0.013157894736842105], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Neurodegenerative disorders - adult onset', 1.0, 0.00909090909090909, 0.00909090909090909], ['Hereditary ataxia - adult onset', 1.0, 0.005376344086021506, 0.005376344086021506], ['Hereditary ataxia', 1.0, 0.007518796992481203, 0.007518796992481203], ['White matter disorders and cerebral calcification - narrow panel', 1.0, 0.007518796992481203, 0.007518796992481203], ['Hydrocephalus', 1.0, 0.014492753623188406, 0.014492753623188406], ['Adult onset movement disorder', 1.0, 0.013157894736842105, 0.013157894736842105]]"
